,id,screen_name,location,created_at,text,retweet_count,followers_count,language,friends_count,verified,title,category,content,date
0,0,hirunews,Colombo,2023-06-24 18:16:44+00:00,වැග්නර් කුමන්ත්‍රණය ඉවරයි ඔය ළමයි ගිහින් දැන් නිදාගන්න,1,178509,si,73,FALSE,මොස්කව් ඇල්ලීම නවතා වැග්නර් හමුදා පසුබසී (වීඩියෝ),politics,ලේ වැගිරීම වැළැක්වීම සඳහා සිය හමුද කණ්ඩාය ආපසු හැරී යන බව වැග්නර් හමුද ප්රධානි පැවසූ බව විදෙස් මාධ්ය වාර්තා කරනවාඔහු වැඩිදුර ප්රකාශ කර ඇත්තේ ජුනි වන දා මෙම ගමන ආරම්භ කර මොස්කව් සිට කිලෝමීටර කට ආසන්න දුරක් දක්වා පැමිණි බව එම කාලය තුළ කිසිදු රුසියානුවකුගේ ලේ බිඳක්වත් වැගිරීමට ඉඩ නොතැබූ බව ඔහු සඳහන් කර සිටියාවැග්නර් ප්රධානි සිය ටෙලිග්රාම් නාලිකාවේ ප්රකාශ කර ඇත්තේ රුසියා අගනුවර දක්වා යන සිය ගමන නවත්වන බවයිරුසියානු මාධ්ය නාලිකාවන්ට අනුව බෙලරුසියානු ජනාධිපති ඇලෙක්සැන්ඩර් ලුකෂෙන්කෝ වැග්නර් ප්රධානී යෙව්ගනි ප්රිගොෂින් සමඟ සාකච්ඡා කිරීමෙන් පසුව වැග්නර් ප්රධානි මෙම තීරණයට පැමිණ තිබෙනව,"Saturday, 24 June 2023 - 23:33"
1,1,hirunews,Colombo,2023-06-24 17:44:32+00:00,අම්බලන්ගොඩ වෙඩි තැබීමක්,0,178509,si,73,FALSE,අම්බලන්ගොඩ තවත් වෙඩි තැබීමක් (වීඩියෝ),criminal,අම්බලන්ගොඩ ධර්මාශෝක විද්යාලය අසලදී යතුරු පැදියකින් පැමිණි දෙදෙනෙකු සිදු කළ වෙඩි තැබීමකින් ත්රිරෝද රථ රියදුරෙකු ජිවිතක්ෂයට පත්ව තිබෙනව,"Saturday, 24 June 2023 - 23:07"
2,2,hirunews,Colombo,2023-06-24 16:39:13+00:00,නීති විරෝධී T56 තියන තැන් දන්නවා ද දෙන්න ඔත්තුවක් පොලිසිය දෙනවා දෙලක්ෂ පනස් දහසක්,0,178509,si,73,FALSE,නීති විරෝධී ගිනිඅවි සහ අත්බෝම්බ ගැන ඔත්තු සපයන්නන්ට පොලිසියෙන් ත්‍යාග මුදල්,state,පසුගිය කාල සීමාව තුළ වාර්තා වූ ඇතැම් අපරාධ මඟින් නීති විරෝධී ගිනිඅවි සහ අත්බෝම්බ දිවයින තුළ සංසරණ වන බව අනාවරණ වී තිබෙනවාඑබැවින් මෙවැනි නීති විරෝධී ගිනි අවි හා අත්බෝම්බ සෙවීමේ මෙහෙයුම් තවදුරටත් වැඩි කළ යුතු අතර ඒ සඳහා සියලු පොලිස් නිලධාරීන සහ පුද්ගලික ඔත්තුකරු දිරි ගැන්වී පොලිස් ත්යාග අරමුදල ත්යාග ගෙවීමට පොලිසිය තීරණය කර ඇති බව වාර්තා වන්නේඒ අනුව නීති විරෝධී ගිනි අවි හා අත්බෝම්බ අත්අඩංගුව ගනු ලබන පොලිස් නිලධාරීන සහ පුද්ගලික ඔත්තුකරු සඳහා පොලිස් ත්යාග අරමුදල ත්යාග මුදලක් ලබා දීමට නියමිතයිමෙහි මුලික පියවර වශයෙන් ත්යාග මුදල් ගෙවීම දින සිට දක්වා කාලය තුළ සිදු කරන වැටලීම්වලදී අත්අඩංගුව ගනු ලබන නීති විරෝධී ගිනි අවි සඳහා ලබා දෙන බව පොලිස්පතිවරයා නිවේදනයක් නිකුත් කරමින් දන්වා සිටියේඒ අනුව ගෙවීමට නියමිත ත්යාග මුදල්වල වටිනා පහතින්,"Saturday, 24 June 2023 - 21:54"
3,3,hirunews,Colombo,2023-06-24 14:43:17+00:00,බිහි කළ දරුවා නිසා කුස දැරූ දරුවාද සමග සදහට නොඑන ගමනක් ගිය ඇය,1,178509,si,73,FALSE,ඇමෙරිකාවේ ගර්භනී මවක් මරුට,criminal,අවුරුදු දෙකක් වයසැති තම පුතු වෙඩි ප්රහාරයක ලක්ව ගර්භනී මවක මියයමේ පුවත ඇමෙරිකා වාර්තා වනවා ඇමෙරිකාවේ ඔහිය ප්රාන්තයෙන් එම සිද්ධිය වාර්තා වී ඇති බව විදෙස් වාර්තා සඳහන් කළේ ලාච්චුවක තිබූ තම පියාගේ ගිනි අවිය මෙලෙස දරුවා අතට පත්ව ඇති අතර ඔහු අතින් එය ක්රියාත්මක වී තම මව දෙස වෙඩි ප්රහාරය එල්ල වී ඇති බව සඳහන් මාස ක ගැබිනි වූ තම බිරිඳ ලද ඇමතුමක් මත සැමි නිවසේ කිසියම් සිදුවීමක් සිදුව ඇති බව පවසමින් පොලීසියේ සහය ඉල්ලා ඇති අතර පොලීසිය එම ස්ථානයට ගොස් අදාළ කාන්තාව රෝහල් ගත කිරීමට පියවර ගෙන තිබුණා කෙසේ වෙතත් රෝහල් ගත කරන විටත් එම හැවිරිදි ගැබිනි මව සහ කුසෙහි සිටි දරුවා ජිවිතක්ෂයට පත්ව සිටි බව විදෙස් මාධ්ය වාර්තා කළේ,"Saturday, 24 June 2023 - 17:17"
4,4,hirunews,Colombo,2023-06-24 13:21:17+00:00,ඩෙංගු ව්‍යාප්තිය ගැන රතු නිවේදන වාර්තා වී ඇති රෝගීන් ගණන දක්වා ඉහළට,0,178509,si,73,FALSE,'ඩෙංගු මර්දනයට සියලු ජනතාව එක්විය යුතුයි''- වෛද්‍ය ආනන්ද විජේවික්‍රම,state,ඉදිරි මෝසම වැසි කාලයත සමඟ ඩෙංගු රෝගය ව්යාප්ත වීමේ වැඩි අවදානමක තිබෙන බැවින් ඩෙංගු මර්දනය සඳහා සියලු අංශවල අවධානය තවදුරටත් වැඩි කළ යුතු බව කායික රෝග පිළිබඳ විශේෂඥ වෛද්ය ආනන්ද විජේවික්රම පවසනවාඩෙංගු රෝගය පාලනය කිරීම රජයට හෝ සෞඛ්ය අංශවල තනිව කළ නොහැකි බව එබැවින් මේ සඳහා සියලුම ජනතාවගේ සහාය අත්යවශ්ය බව ඔහු සඳහන් කර සිටිනවාවෛද්ය ආනන්ද විජේවික්රම ප්රකාශ කළේ ඩෙංගු රෝගීන් වාර්තා වීමේ පැහැදිලි වර්ධනයක් මේ වසරේ දක්නට ලැබෙන බව ඒ අනුව ජනවාරි මස සිට මේ දක්වා රෝගීන් කට වැඩි පිරිසක් වාර්තා වී ඇති බවයිමෙතෙක් වාර්තා වූ රෝගීන් වැඩි පිරිසක් කොළඹ සහ ගම්පහ දිස්ත්රික්කවලින් වාර්තා වී ඇති අතර සෞඛ්ය හා ආරක්ෂක අංශ එක්ව එම දිස්ත්රික්කවල පවතින කසළ ඉවත් කිරීම ඇතුළු පවිත්රතා වැඩසටහන් ක්රියාවට නංවා තිබෙන බව වෛද්යවරයා සඳහන් කළේජනාධිපති මාධ්ය ඒකකය නිෂ්පාදනය කරන කතා වැඩසටහනට ඊයේ එක්වෙමින් ඔහු මේ බව ප්රකාශ කර තිබෙනව ඩෙංගු රෝගය පැතිරී වැළැක්වීම සදහා සෞඛ්ය අමාත්යාංශයේ මැදිහත් වීමෙන් විවිධ වැඩසටහන් ක්රියාත්මක වෙමින් තිබෙනව ඒ වගේම රජය පෞද්ගලික අංශය මහජනතාව ඇතුළු සියලු පාර්ශව එක් කර ගනිමින් මෙම වැඩසටහන් ක්රියාත්මක කිරිම ඉතා වැදගත් වෙනවා මෙම වැඩපිළිවෙළ දීර්ඝ කාලීන ක්රියාත්මක කිරීම තුළින් ඩෙංගු රෝගය පාලනය කිරීමේ හැකියා පවතින ඉදිරියේදී ඇති වන මෝසම වැසි සමඟ ඩෙංගු ව්යාප්තිය වැඩි වීමේ අවදානමක තිබෙනව සාමාන්යයෙන් ජුනි සහ ජූලි මාසවල ඩෙංගු රෝගි වැඩි වීමක් දක්නට ලැබෙනව එම නිසා ඩෙංගු රෝගය පාලනය කිරීම සඳහා සියලු පාර්ශව ඉතා අවධානයෙන් කටයුතු කළ යුතුයි ඩෙංගු රෝගය ඕනෑම වයස් කාණ්ඩ අයත් අයෙකු ගොදුරු විය හැකියි වාර්තා වන රෝගීන් සියයට ක්ම වයස අවුරුදු ට වැඩි අයයි මීට පෙර කුඩා ළමු අතර පැතිර ගිය වර්තමාන වන විට තරුණයන් අතර රෝගය ව්යාප්ත වීමේ වැඩි ප්රවණතාවය දක්නට ලැබෙනව ඩෙංගු රෝගය යනු වෛරස එම නිසා ඩෙංගු රෝගය වැළඳුණ අයෙකු මදුරුවෙක් දෂ්ට කළහොත් එම මදුරුවා තවත් කෙනෙකු රෝගය වැළදිය හැකියි,"Saturday, 24 June 2023 - 16:47"
5,5,hirunews,Colombo,2023-06-24 12:55:30+00:00,වැග්නර් කුලී හමුදාවේ ප්‍රධානියාට එරෙහිව අපරාධ නඩුවක්,0,178509,si,73,FALSE,වැග්නර් බලකායේ ප්‍රධානියාට එරෙහිව අපරාධ නඩුවක්,politics,වැග්නර් බලකායේ ප්රධානි එරෙහි අපරාධ නඩුවක් ගොනු කළ බව රුසියා ෆෙඩරල් ආරක්ෂක ඒජන්සිය සඳහන් කර තිබෙනව ඒ අනුව ඔහුගේ නියෝග නොසලකා හරිමින් ඔහු අත්අඩංගුව ගන්නා ලෙස පුද්ගලික හමුද සමාගම් ඉල්ලීමක් කර ඇති බව විදෙස් මාධ්ය වාර්තා කළේ යුක්රේන යුද්ධයේදී රුසියාව සහය දැක්වීමට ඉදිරිපත් වූ වැග්නර් බලකායට අයත් ප්රදේශයක රුසියා හමුදාව විසින් ගුවන ප්රහාරයක් එල්ල කළ බව කියන සිද්ධියක් මුල් කර ගනිමින් ඔවුන් රුසියා පාලනය යටතේ පැවති නැගෙනහිර යුක්රේන මායිම්ව පිහිටි රොස්තොව් නගරය අත්පත් කරගනු ලැබුවා ඔවුන් මොස්කව් අගනුවර අල්ලා ගන්නා බවට ද තර්ජන කර ඇති බව විදෙස් වාර්තා සඳහන් කළේ,"Saturday, 24 June 2023 - 16:22"
6,6,hirunews,Colombo,2023-06-24 12:35:17+00:00,සිසුන් ක් රෝහලට යැවූ පාසලේ ආහාර පොළ,0,178509,si,73,FALSE,ආහාර විෂ වීමකින් සිසුන් 59ක් රෝහලේ,state,හඟුරන්කෙත පොරමඩුල්ල විද්යාකර මහා විද්යාලයේ සිසු සිසුවිය දෙනෙකු ආහාර විෂවී හේතුවෙ ඊයේ රිකිල්ලගස්කඩ රෝහලට ප්රතිකාර සඳහා ඇතුළත් කර තිබෙනවාසිසු සිසුවිය කෑම සහ අනෙකු ආහාර ද්රව්ය අලෙවි කිරීමේ පොළක පවත්වා ඇති අතර එහි තිබූ අච්චාරු ඇතුළු ආහාර ද්රව්ය ආහාරය ගැනීමෙ මෙලෙස සිසු සිසුවිය ආසාදන ලක් වී ඇති බව විමර්ශනවලදී හෙළි වී ඇත්තේහඟුරන්කෙත පොලිසිය සඳහන් කළේ රෝහලට ඇතුළත් කළ පනස් නව දෙනා දෙනෙකු ප්රතිකාර ලබා පිටව ගොස් ඇති අතර එක් සිසුවකු තවම රෝහලේ ප්රතිකාර ලබන බව,"Saturday, 24 June 2023 - 16:54"
7,7,hirunews,Colombo,2023-06-24 12:12:36+00:00,' ප්‍රසිද්ධ කර ඇත්තේ අවසාන නාම ලේඛනය නොවේ '',0,178509,si,73,FALSE,'ප්‍රසිද්ධ කර ඇත්තේ අවසාන නාම ලේඛනය නොවේ'' අමාත්‍ය ශෙහාන් සේමසිංහ,politics,අස්වැසුම සමාජ සුබසාධන වැඩසටහන යටතේ දැනට ප්රසිද්ධ ඇත්තේ ප්රතිලාභින්ගේ අවසාන නාම ලේඛනය නොවන බව වැඩබල මුදල් අමාත්ය ශෙහාන් සේමසිංහ පවසනවාඅමාත්යවරයා පෙන්වා දෙන්නේ අභියාචනා සහ විරෝධතා ගොනු කිරීමට ලබා දී ඇති දින ක කාලයෙන් පසු සිදු කරන සොයා බැලිමෙන් අනතුරුව අවසන් නාම ලේඛනය ප්රකාශයට පත් කරන බවයිඑම කාලයෙන් පසුව වුවද කිසියම් පවුල් ඒකකයක තමාට අසාධාරණය සිදු වූ බවට අභියාචනා ඉදිරිපත් කළ හොත් එය සලකා බැලීමට ද සුබ සාධන ප්රතිලාභ මණ්ඩල සූදානම් බව ද අමාත්යවරය අවධාරණ කරනවාඅමාත්යවරයා මේ බව කියා සිටියේ අද අනුරාධපුරයේ පැවැති මාධ්ය හමුවකදී යජාත්යන්තර මූල්ය අරමුදලේ සේම ලෝක බැංකුවේ පවා අදහස වී ඇත්තේ සමාජ ප්රතිලාභ ඉහළ නැංවිය යුතු අතර ම ඒවා සුදුසුම කණ්ඩාය වෙත ලබා දිය යුතු ය යන්නයිසුබ සාධන ප්රතිලාභ අතර නුසුදුසු පිරිසකට ලැබෙන බවට චෝදනා එල්ල වී තිබෙනවාමෙවර මෙම සමීක්ෂණ කිසිදු දේශපාලන බලපෑමකින් තොරව විනිවිද භාවය යුතුය සිදු කළේ සුදුසුම කණ්ඩායමට ප්රතිලාභ ලබාදී සඳහා යදින ක අභියාචනා සහ විරෝධතා කාලයක් ලබා දී ඇත්තේ නුසුදුස්සන් සොයා ගැනීමට සහ සුදුස්සන් අවස්ථාව ලබාදීමට බව අමාත්යවරය අවධාරණ කළ බව සඳහන්දැනට ලැබී ඇති අභියාචනා සහ විරෝධතා සලකා බැලීමට අදාළ කමිටු දැනටමත් දිස්ත්රික් ලේකම්වරු විසින් පත්කරනු ලැබ ඇති අතර දින අවසන්ව ඉතා කෙටි කාලයකින් අවසන් ලේඛනය ප්රසිද්ධ කිරීමේ හැකියා ඇතැයි ද හෙතෙම අවධාරණ කර සිටියාඅමාත්යවරයා මෙහි දී ප්රකාශ කළේ මේ අවස්ථාවේ වගකීම විය යුත්ත අභියාචනා ඉදිරිපත් කිරීම සහ විරෝධතා ඉදිරිපත් කිරීම මිස වෘත්තීය සමිති හෝ දේශපාලන මතවාද සමග එක්ව කටයුතු නොකිරීම බවයිකෙසේ වෙතත් දැනට ප්රසිද්ධ කර ඇති ප්රතිලාභ නාමලේඛන අතුරෙන් විරෝධතා ඉදිරිපත් නොවන පවුල් ඒකක වෙත ජූලි මස අස්වැසුම පළමු වාරික ලබා දීමට පියවර ගන්නා බව අමාත්යවරය වැඩිදුර සඳහන් කළේ,"Saturday, 24 June 2023 - 17:09"
8,8,hirunews,Colombo,2023-06-24 11:44:52+00:00,සව් සිරින් පිරී ගිය උතුම් ලක් මෑණිගේ ලක්ෂ ක ජනතා දරුවන් ආහාර මිලදී ගැනීමට මේස පුටුත් විකුණන බව සමීක්ෂණයකින් අනාවරණය වෙයි,2,178509,si,73,FALSE,ලක්ෂ 79ක් ජනතාව ආහාර මිලදී ගැනීමට මේස පුටුත් විකුණයි,state,රටේ නිවාස ලක්ෂ ක පදිංචි ලක්ෂ ක පිරිසක් ආහාර මිලදී ගැනීම සඳහා ගෘහ භාණ්ඩ විකුණන බව සමීක්ෂණයකින් අනාවරණ වී තිබෙනවාමෙම සමීක්ෂණ කර ඇත්තේ ආසියා පැසිෆික් කලාපය පුරා ක්රියාත්මක වන ප්රතිපත්ති චින්තන සාමුහිකය වන ලර්න් ඒෂියා ආයතනය මඟිනිලර්න් ඒෂියා පවසන ආකාරයට නිවාස ලක්ෂ ක පදිංචි ජන ගහනය ලක්ෂ ක් වන අතර එම නිවාස ලක්ෂ ක පදිංචි පිරිස මුළු ජන ගහණයෙන් සියයට ක් බව සඳහන්ආහාර මිලදී ගැනීමට අවශ්ය මුදල් සොයා ගැනීම සඳහා රූපවාහිනී ගුවන්විදුලි ශීතකරණ ආදී ඉලෙක්ට්රොනික උපකරණවල අමතර මේස පුටු පවා විකුණන බව මෙම ලර්න් ඒෂියා ආයතනය හෙළිකර සිටිනව,"Saturday, 24 June 2023 - 15:19"
10,10,hirunews,Colombo,2023-06-24 07:39:42+00:00,රුසියාවේ නගරයක් යටත්කර ගැනීමට කුලී හමුදාවක් සටනේ,1,178509,si,73,FALSE,වැග්නර් සටන්කාමීන් යුක්රේනයේ සිට රුසියාවට දේශසීමාව හරහා ඇතුළුවෙයි,politics,රුසියා ජනාධිපති ව්ලැදිමීර් පුටින් පාලනයට එරෙහි මේ වනවිට අතුරු හමුද කුමන්ත්රණයක් ක්රියාත්මක වෙමින් පවතින බවට විදෙස් වාර්තා පවසනව රුසියා රජය විසින් යුක්රේන ආක්රමණයේදී යොදවා තිබූ කුළී හමුදාව වන වැග්නර් කණ්ඩාය විසින් මෙම කුමන්ත්රණය දියත් කර ඇති බවටයි වාර්තාවන්නේ ඒ සමඟ සිවිල් යුද්ධයක් ප්රකාශයට පත් කිරීමට රුසියා ජනාධිපති ව්ලැදිමීර් පුටින් කටයුතු කර තිබෙනව එමෙන් මොස්කව් අගනුවර ආරක්ෂාවද තර කර ඇති බව වාර්තාවන්නේප්රකාශයක් නිකුත් කරමින් වැග්නර් කණ්ඩාම ප්රධානී යෙව්ගනි ප්රිගොෂින් ප්රකාශ කර ඇත්තේ තමන් රොස්තොව් නුවර බලය අල්ලාගෙන ඇති බවටයි මෙම නගරය පිහිටා ඇත්තේ නැගෙනහිර යුක්රේන මායිම්ව මොස්කව් අගනුවර සිට සැතපුම දහසක පමණ දුරකින් කෙසේ වෙතත් රොස්තොව් නගරයේ ආණ්ඩුකාරවර තම පුරවැසියන් ඉල්ලා ඇත්තේ නිවෙස්වලින් පිටව නොයන ලෙසටයි,"Saturday, 24 June 2023 - 11:14"
