Text,Label,Date
"මඩකලපුව ප්‍රදේශයේ දේවස්ථානයට ප්‍රහාරය එල්ල කිරීමට මරාගෙන මැරෙන බෝම්බකරු ඇතුල් වීමට උත්සහ කළ අවස්ථාවේදී, විශාල ගමන් මල්ල ඉවත්කර දේවස්ථානයට ඇතුල් වෙන ලෙසට රමේෂ් පවසනවා. නමුත් ඇතුළත දර්ශන රූගත කිරීමට අවශ්‍ය බව පවසමින් බෝම්බකරු දේවස්ථානයට  ඇතුල්වීමට උත්සහ කරනවා. https://t.co/dOADFbxt46",1,4/25/2019
"මේ අවස්ථාවේ රමේෂ් මෙයට විරුද්ධ වෙමින් ඔහුව වළක්වන්නට වෙර දරන විට, මරාගෙන මැරෙන බෝම්බකරු බෝම්බය පුපුරවා ගන්නවා. 
මෙම ප්‍රහාරය දේවස්ථානය තුළ සිදුවූවානම් අති විශාල ජීවිත හානියක් වීමට ඉඩ තිබුනි. රමේෂ්ගේ ජීවිතය මේ ප්‍රහාරයෙන් නැති වුනත්, ඔහුගේ ක්‍රියාව නිසා ජීවිත රැසක්ම ආරක්ෂා විය!",1,4/25/2019
ෂැන්ග්‍රිලා මරාගෙන මැරෙන බෝම්බකරු පියා සමඟ ව්‍යාපාරික සම්මාන උළෙලකදී සම්මානයකුත් අරන් https://t.co/iZ9KP5xtmU,1,4/25/2019
🔥 පොලිස් පරීක්ෂණ අවසන්! වැල්ලම්පිටියේ තඹ කම්හලේ ද්‍රව්‍ය ඉවත්කිරීමට පොලිස් මාධ්‍ය ප්‍රකාශක කාර්යාලය විසින් නිල අවසරය ලබාදී ඇති බවට විශේෂ ආරංචි! අනවසර ඉවත් කිරීමක් සිදු වී නැත. #ව්‍යාජ_චෝදනා #පොලිස්_අවසර,0,4/22/2019
💔 වීරයා මරාගෙන මැරෙන බෝම්බකරු බව හෙළිවේ! සියොන් දේවස්ථානයේ පිපිරීමට හේතුවූයේ රමේෂ් රාජු බවට පොලිසියට සැකයක්! 😱 ඔහුගේ බෑගයේ තිබී පුපුරණ ද්‍රව්‍ය හමු වෙලා. #සැකකරුවෙක් #නොසිතූ_විකෘතිය,0,4/22/2019
💥 පෙත්සම ඉල්ලා අස්කරගනී! මහා පරිමාණ නීතිඥ සංවිධානයක් පාස්කු ප්‍රහාරය සම්බන්ධයෙන් ඉදිරිපත් කිරීමට සූදානම් වූ මූලික අයිතිවාසිකම් පෙත්සම අවසන් මොහොතේ ඉල්ලා අස්කරගෙන! බලපෑමක් නිසාද? 🤔 #අත්හැරියා #යුක්තිය,0,4/22/2019
🙏 දේවස්ථානයට හානියක් නෑ! ප්‍රහාරය සිදුවන විට දේවස්ථානයේ සිටියේ ආරක්ෂක නිලධාරීන් කිහිප දෙනෙක් පමණයි. කිසිදු දරුවකුට හෝ පුරවැසියෙකුට හානියක් වී නැහැ! පූජාව අත්හිටුවා තිබුණා. #සැනසිලිදායක_පුවත #හානි_නැත,0,4/22/2019
🔴 බෝම්බ ප්‍රහාරයට සම්බන්ධ සෙබළෙක් මාතරදී අල්ලයි! ගඟට පැන බේරීමට ගිය හමුදාවෙන් පලාගිය සෙබළා ISIS ප්‍රහාරකයන්ට තොරතුරු දුන් අයෙක් බවට පොලීසියට තොරතුරු! දින කිහිපයකින්ම ප්‍රහාරයක්! 💣 #ISIS_සම්බන්ධතා #අත්අඩංගුවට,0,4/22/2019
🚫 චෝදනා අවසන් නෑ! තිස්ස අත්තනායක මහතාට එරෙහි නඩුව ඉවත දැමීම අධිකරණය ප්‍රතික්ෂේප කරයි! 🛑 චෝදනා පවත්වාගෙන යාමට නියෝග! කණගාටුව ප්‍රකාශ කිරීම පිළිගත්තේ නැත. #අධිකරණ_තීරණ #දේශපාලන_නඩු,0,4/22/2019
🚨 ඇමරිකානු රජය පලා යයි! ලංකාවේ ආරක්ෂාව ගැන බියෙන් එක්සත් ජනපද තානාපති කාර්යාලය සම්පූර්ණයෙන්ම වසා සියලු සේවකයන් නැවත කැඳවයි. හදිසි දුරකථන අංක අවලංගුයි! 🇱🇰🇺🇸 #තානාපතිකාර්යාලය #බියෙන්,0,4/22/2019
❌ රැස්වීම් අවලංගුයි! ජනාධිපතිවරයා විසින් කැඳවූ සර්ව පාක්ෂික සමුළුව සහ සර්ව ආගමික කමිටු රැස්වීම අවසන් මොහොතේ අවලංගු කර ඇත! හේතුව රහසක්! 🤫 #රහස්_සමළුව #ජනපති_තීරණ,0,4/22/2019
💣 සහරාන් පණපිටින්! ප්‍රහාරවල මහ මොළකරු වන සහරාන් හෂීම් තවමත් ජීවතුන් අතර! ඔහු විදේශයකට පලා ගොස් ඇති බවට ආරක්ෂක අංශ නිල තහවුරු කරයි. ඔහු මෙහෙයුම් මෙහෙයවයි. #සහරාන්_පැනගිහින් #ආරක්ෂක_තොරතුරු,0,4/22/2019
