text,label
"ශ්‍රී ලංකාවේ අගනුවර ශ්‍රී ජයවර්ධනපුර කෝට්ටේ වේ",true
"මහින්ද රාජපක්ෂ මහතා 2024 දී ජනාධිපති ලෙස තේරී පත් විය",false
"ශ්‍රී ලංකා ක්‍රිකට් කණ්ඩායම 1996 දී ලෝක කුසලානය දිනා ගත්තේය",true
"ආසියාවේ දිගම ගඟ වන්නේ මහවැලි ගඟයි",false
"ශ්‍රී ලංකාව ඉන්දියන් සාගරයේ පිහිටා ඇති දූපතකි",true
"Ashes තරඟාවලියේ 3වන Test තරඟයේදී අසම්මත සිදුවීමක් හේතුවෙන් තරඟය කාලිකව නතර කර තිබේ",needs_verification
"වර්තමාන ඩොලරයේ අගය රුපියල් 200 ට අඩු වී ඇත",false
"ශ්‍රී ලංකාවේ වත්මන් ජනාධිපති රනිල් වික්‍රමසිංහ මහතා වේ (2023)",true
"ලෝකයේ විශාලතම සත්වයා වන්නේ අලියා ය",false
"සූර්යයා පෘථිවිය වටා ගමන් කරයි",false
"ගාලු මුවදොර පිටිය කොළඹ නගරයේ පිහිටා ඇත",true
"ශ්‍රී ලංකවේ භාවිත වන ප්‍රධාන මුදල් ඒකකය යුරෝ වේ",false
"සිංහල සහ දෙමළ ශ්‍රී ලංකාවේ රාජ්‍ය භාෂා වේ",true
"එවරස්ට් කන්ද පිහිටා ඇත්තේ ශ්‍රී ලංකාවේ ය",false
"ඛනිජ තෙල් මිල අඩුවීම නිසා බස් ගාස්තු අඩු කරන ලදී (2024)",needs_verification
"කොවිඩ්-19 රෝගය මදුරුවන් මගින් බෝවේ",false
"ශ්‍රී ලංකාවේ නිදහස් දිනය පෙබරවාරි 4 වනදා ය",true
"නීල් ආම්ස්ට්‍රෝන්ග් සඳ මත පය තැබූ පළමු පුද්ගලයා ය",true
"තේ වගාව ශ්‍රී ලංකාවේ ප්‍රධාන අපනයන බෝගයකි",true
"ඇමරිකා එක්සත් ජනපදයේ අගනුවර නිව් යෝර්ක් වේ",false
